weighting,signal,quintile,total_return_pct,annualized_return_pct,annualized_volatility_pct,sharpe_ratio_rf_0,maximum_drawdown_pct,observations
market_cap,uncertainty,1,62.76525481039135,13.019683496188028,34.59016098656561,0.5261766240524459,-52.62000982301808,1003
market_cap,uncertainty,2,142.72279141762675,24.956136214917525,34.676709439645585,0.8152357403000207,-43.68040201341387,1003
market_cap,uncertainty,3,72.56081760861572,14.691396106802523,32.190207398297396,0.5865730621247871,-42.46638170957574,1003
market_cap,uncertainty,4,124.06012976847833,22.469456800607812,32.87291132035497,0.7806653416996918,-51.450895173194255,1003
market_cap,uncertainty,5,65.9937443343843,13.578785941455717,47.85447260068062,0.5047921393443142,-70.72633966161892,1003
score,uncertainty,1,197.0003687608025,31.45539843518941,38.326275713932986,0.9040901953061116,-37.55200948480568,1003
score,uncertainty,2,136.98282599779526,24.207040421336814,35.230719213813124,0.790885152118374,-38.273974967755684,1003
score,uncertainty,3,92.02854109018736,17.813373912368125,34.90469358088325,0.6436462328135892,-43.168148637242886,1003
score,uncertainty,4,34.84200038189491,7.7998341674208715,40.65284060457592,0.3873854698742894,-59.5858794058465,1003
score,uncertainty,5,28.784056227162424,6.562019351367954,47.6775222052625,0.37060597373740356,-64.53560778033989,1003
